year,geo_name,geo,income
2015,"Census Tract 401","14000US06075040100",82656.0
2015,"Census Tract 402","14000US06075040200",77500.0
2015,"Census Tract 426.01","14000US06075042601",57472.0
2015,"Census Tract 426.02","14000US06075042602",82013.0
2015,"Census Tract 427","14000US06075042700",52102.0
2015,"Census Tract 428","14000US06075042800",143864.0
2015,"Census Tract 451","14000US06075045100",82755.0
2015,"Census Tract 452","14000US06075045200",72431.0
2015,"Census Tract 476","14000US06075047600",74392.0
2015,"Census Tract 477.01","14000US06075047701",74412.0
2015,"Census Tract 477.02","14000US06075047702",72930.0
2015,"Census Tract 478.01","14000US06075047801",79130.0
2015,"Census Tract 478.02","14000US06075047802",68333.0
2015,"Census Tract 479.01","14000US06075047901",66437.0
2015,"Census Tract 479.02","14000US06075047902",73625.0
2015,"Census Tract 601","14000US06075060100",164179.0
2015,"Census Tract 604","14000US06075060400",52833.0
2015,"Census Tract 605.02","14000US06075060502",23072.0
2015,"Census Tract 607","14000US06075060700",107798.0
2015,"Census Tract 610","14000US06075061000",108977.0
2015,"Census Tract 611","14000US06075061100",16545.0
2015,"Census Tract 612","14000US06075061200",51649.0
2015,"Census Tract 614","14000US06075061400",138897.0
2015,"Census Tract 615","14000US06075061500",127080.0
2015,"Census Tract 9802","14000US06075980200",145000.0
2015,"Census Tract 9803","14000US06075980300",125750.0
2015,"Census Tract 9804.01","14000US06075980401",None
2015,"Census Tract 9805.01","14000US06075980501",16638.0
2015,"Census Tract 9806","14000US06075980600",None
2015,"Census Tract 9809","14000US06075980900",94000.0
2015,"Census Tract 9901","14000US06075990100",None
2013,"Census Tract 101","14000US06075010100",54798.0
2013,"Census Tract 102","14000US06075010200",108557.0
2013,"Census Tract 103","14000US06075010300",91458.0
2013,"Census Tract 104","14000US06075010400",86847.0
2013,"Census Tract 105","14000US06075010500",115233.0
2013,"Census Tract 106","14000US06075010600",29344.0
2013,"Census Tract 107","14000US06075010700",23897.0
2013,"Census Tract 108","14000US06075010800",80614.0
2013,"Census Tract 109","14000US06075010900",109362.0
2013,"Census Tract 110","14000US06075011000",74414.0
2013,"Census Tract 111","14000US06075011100",61904.0
2013,"Census Tract 112","14000US06075011200",76714.0
2013,"Census Tract 113","14000US06075011300",23261.0
2013,"Census Tract 117","14000US06075011700",33613.0
2013,"Census Tract 118","14000US06075011800",25753.0
2013,"Census Tract 119.01","14000US06075011901",58685.0
2013,"Census Tract 119.02","14000US06075011902",51996.0
2013,"Census Tract 120","14000US06075012000",35413.0
2013,"Census Tract 121","14000US06075012100",49872.0
2013,"Census Tract 122.01","14000US06075012201",35244.0
2013,"Census Tract 122.02","14000US06075012202",27908.0
2013,"Census Tract 123.01","14000US06075012301",12018.0
2013,"Census Tract 123.02","14000US06075012302",26042.0
2013,"Census Tract 124.01","14000US06075012401",19108.0
2013,"Census Tract 124.02","14000US06075012402",25274.0
2013,"Census Tract 125.01","14000US06075012501",12210.0
2013,"Census Tract 125.02","14000US06075012502",12037.0
2013,"Census Tract 126.01","14000US06075012601",92066.0
2013,"Census Tract 126.02","14000US06075012602",133155.0
2013,"Census Tract 127","14000US06075012700",105128.0
2013,"Census Tract 128","14000US06075012800",118281.0
2013,"Census Tract 129.01","14000US06075012901",110741.0
2013,"Census Tract 129.02","14000US06075012902",104758.0
2013,"Census Tract 130","14000US06075013000",115536.0
2013,"Census Tract 131.01","14000US06075013101",121855.0
2013,"Census Tract 131.02","14000US06075013102",96324.0
2013,"Census Tract 132","14000US06075013200",137230.0
2013,"Census Tract 133","14000US06075013300",128125.0
2013,"Census Tract 134","14000US06075013400",106364.0
2013,"Census Tract 135","14000US06075013500",100136.0
2013,"Census Tract 151","14000US06075015100",88854.0
2013,"Census Tract 152","14000US06075015200",66403.0
2013,"Census Tract 153","14000US06075015300",95000.0
2013,"Census Tract 154","14000US06075015400",97195.0
2013,"Census Tract 155","14000US06075015500",56835.0
2013,"Census Tract 156","14000US06075015600",76275.0
2013,"Census Tract 157","14000US06075015700",82759.0
2013,"Census Tract 158.01","14000US06075015801",61500.0
2013,"Census Tract 158.02","14000US06075015802",85484.0
2013,"Census Tract 159","14000US06075015900",32457.0
2013,"Census Tract 160","14000US06075016000",57434.0
2013,"Census Tract 161","14000US06075016100",19790.0
2013,"Census Tract 162","14000US06075016200",46205.0
2013,"Census Tract 163","14000US06075016300",69856.0
2013,"Census Tract 164","14000US06075016400",76798.0
2013,"Census Tract 165","14000US06075016500",81354.0
2013,"Census Tract 166","14000US06075016600",81078.0
2013,"Census Tract 167","14000US06075016700",117761.0
2013,"Census Tract 168.01","14000US06075016801",84082.0
2013,"Census Tract 168.02","14000US06075016802",62204.0
2013,"Census Tract 169","14000US06075016900",103529.0
2013,"Census Tract 170","14000US06075017000",113152.0
2013,"Census Tract 171.01","14000US06075017101",119186.0
2013,"Census Tract 171.02","14000US06075017102",111734.0
2013,"Census Tract 176.01","14000US06075017601",24164.0
2013,"Census Tract 177","14000US06075017700",89500.0
2013,"Census Tract 178.01","14000US06075017801",14688.0
2013,"Census Tract 178.02","14000US06075017802",76685.0
2013,"Census Tract 179.02","14000US06075017902",37500.0
2013,"Census Tract 180","14000US06075018000",122500.0
2013,"Census Tract 201","14000US06075020100",34323.0
2013,"Census Tract 202","14000US06075020200",62648.0
2013,"Census Tract 203","14000US06075020300",108051.0
2013,"Census Tract 204.01","14000US06075020401",126579.0
2013,"Census Tract 204.02","14000US06075020402",88639.0
2013,"Census Tract 205","14000US06075020500",115417.0
2013,"Census Tract 206","14000US06075020600",117578.0
2013,"Census Tract 207","14000US06075020700",115750.0
2013,"Census Tract 208","14000US06075020800",68387.0
2013,"Census Tract 209","14000US06075020900",51510.0
2013,"Census Tract 210","14000US06075021000",106801.0
2013,"Census Tract 211","14000US06075021100",105880.0
2013,"Census Tract 212","14000US06075021200",127808.0
2013,"Census Tract 213","14000US06075021300",130357.0
2013,"Census Tract 214","14000US06075021400",125800.0
2013,"Census Tract 215","14000US06075021500",109627.0
2013,"Census Tract 216","14000US06075021600",94048.0
2013,"Census Tract 217","14000US06075021700",89750.0
2013,"Census Tract 218","14000US06075021800",110398.0
2013,"Census Tract 226","14000US06075022600",142260.0
2013,"Census Tract 227.02","14000US06075022702",147095.0
2013,"Census Tract 227.04","14000US06075022704",138472.0
2013,"Census Tract 228.01","14000US06075022801",85052.0
2013,"Census Tract 228.02","14000US06075022802",59492.0
2013,"Census Tract 228.03","14000US06075022803",79735.0
2013,"Census Tract 229.01","14000US06075022901",60479.0
2013,"Census Tract 229.02","14000US06075022902",90200.0
2013,"Census Tract 229.03","14000US06075022903",63750.0
2013,"Census Tract 230.01","14000US06075023001",51659.0
